entity_id,entity_label,relation_id,relation_label,inverse,question,answer_id,entity_start,entity_end
Q12439,detroit,R19,place of birth,True,who is a musician born in detroit,Q6106580,6,6
Q6817891,mera shikar,P364,original language of film or TV show,False,what is the language in which mera shikar was filmed in,Q1568,6,7
Q1297,chicago,R276,location,True,Whats the name of a battle that happened in chicago,Q2888523,9,9
Q193592,midfielder,R413,position played on team / speciality,True,what player plays the position midfielder,Q5822614,5,5
Q6849115,mike twellman,P413,position played on team / speciality,False,what is the position that  mike twellman plays,Q336286,5,6
Q842256,musical film,R136,genre,True,list some musical films,Q5962341,2,3
Q7273,ellen swallow richards,P27,country of citizenship,False,what is ellen swallow richards nationality,Q30,2,4
Q247643,elementary,P364,original language of film or TV show,False,What language is the show elementary broadcast in,Q1860,5,5
Q6135854,james hendry,P21,sex or gender,False,what is the gender of james hendry,Q6581097,5,6
Q2405480,voice actor,R106,occupation,True,who was a voice actor,Q231891,3,4
Q145410,1893 jakoba,P196,minor planet group,False,What is a member of the 1893 jakoba asteroid group,Q2179,6,7
Q4921907,black star at the point of darkness,P175,performer,False,What artist includes black star at the point of darkness in his work,Q358342,3,9
Q1698,serge gainsbourg,R175,performer,True,Name an album by serge gainsbourg,Q3048951,4,5
Q237514,laura ingalls wilder,R50,author,True,what is a book by laura ingalls wilder,Q4657824,5,7
Q388408,endless love,P344,director of photography,False,Who was the cinematographer for the film endless love,Q1177096,7,8
Q93204,documentary film,R136,genre,True,what is a documentary film about the media,Q7248510,3,4
Q3643721,brandon reilly,P136,genre,False,what musical genre does  brandon reilly create,Q183504,4,5
Q7063408,notre dame fighting irish men's basketball,P641,sport,False,What sport does notre dame fighting irish men basketball play,Q5372,3,8
Q71277,rudi ball,P19,place of birth,False,where in germany was rudi ball born in,Q64,4,5
Q101625,marrakesh,P421,located in time zone,False,what time zone is marrakech in,Q843589,4,4
Q5667368,"harry blackstone, jr.",P27,country of citizenship,False,"which country does harry blackstone, jr. come from",Q30,3,5
Q734861,valeria richards,P21,sex or gender,False,what is valeria richards gender,Q6581072,2,3
Q55442,liliana cavani,R57,director,True,what movie did liliana cavani direct,Q3750839,3,4
Q3986646,the dog island,P136,genre,False,What kind of video game is the dog island,Q23916,6,8
Q7749083,the loves of the gods,P170,creator,False,who created the loves of the gods,Q7824,2,6
Q36322,jane austen,R50,author,True,What did jane austen write,Q170583,2,3
Q234472,estella,P27,country of citizenship,False,What is the nationality of estella warren,Q16,5,5
Q43,turkey,R17,country,True,what is a second level division of turkey,Q43745,7,7
Q710600,eugênio sales,P21,sex or gender,False,what gender does eugenio sales identify as,Q6581097,3,4
Q1297,chicago,R19,place of birth,True,Name a person born in chicago.,Q4735826,5,5
Q668083,seven wishes,P175,performer,False,who is the artist on seven wishes,Q1889163,5,6
Q154581,gangs of new york,P86,composer,False,who wrote the music for gangs of new york,Q207773,5,8
Q1348496,sophie merry,P21,sex or gender,False,what is the gender of sophie merry,Q6581072,5,6
Q6836909,michelle ashford,R58,screenwriter,True,what is an episode written by michelle ashford,Q16746257,6,7
Q56094,francis ford coppola,R86,composer,True,what movies has francis ford coppola contributed music to,Q182692,3,5
Q1120576,communist party of britain,P1142,political ideology,False,which is the main ideology of the communist party of britain,Q6186,7,10
